------+----------------------+-------------+----+---------+------+-----------------------+----------------------------------------------------------------------
 Line | # File          Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code
  259 |  1 testfile.s    259 | Code        | 00 |         |    3 | 00/41DF : D9 05 04    |             cmp   {$0405},y      
  260 |  1 testfile.s    260 | Code        | 00 |         |    1 | 00/41E2 : DA          |             phx                  
  261 |  1 testfile.s    261 | Code        | 00 |         |    1 | 00/41E3 : DB          |             stp                  
  262 |  1 testfile.s    262 | Code        | 00 |         |    3 | 00/41E4 : DC 03 02    |             jml   [{$010203}]    
  263 |  1 testfile.s    263 | Code        | 00 |         |    3 | 00/41E7 : DD 05 04    |             cmp   {$0405},x      
  264 |  1 testfile.s    264 | Code        | 00 |         |    3 | 00/41EA : DE 05 04    |             dec   {$0405},x      
  265 |  1 testfile.s    265 | Code        | 00 |         |    4 | 00/41ED : DF 03 02 01 |             cmpl  {$010203},x    
  266 |  1 testfile.s    266 | Empty       | 00 |         |    0 | 00/41F1               |                                  
  267 |  1 testfile.s    267 | Empty       | 00 |         |    0 | 00/41F1               | startE0                          
  268 |  1 testfile.s    268 | Code        | 00 |         |    3 | 00/41F1 : E0 56 34    |             cpx   #{$123456}     
  269 |  1 testfile.s    269 | Code        | 00 |         |    2 | 00/41F4 : E1 A5       |             sbc   ({$A5},x)      
  270 |  1 testfile.s    270 | Code        | 11 |         |    2 | 00/41F6 : E2 FF       |             sep   #$FF           
  271 |  1 testfile.s    271 | Code        | 11 |         |    2 | 00/41F8 : E3 A5       |             sbc   {$A5},s        
  272 |  1 testfile.s    272 | Code        | 11 |         |    2 | 00/41FA : E4 A5       |             cpx   {$A5}          
  273 |  1 testfile.s    273 | Code        | 11 |         |    2 | 00/41FC : E5 A5       |             sbc   {$A5}          
  274 |  1 testfile.s    274 | Code        | 11 |         |    2 | 00/41FE : E6 A5       |             inc   {$A5}          
  275 |  1 testfile.s    275 | Code        | 11 |         |    2 | 00/4200 : E7 A5       |             sbc   [{$A5}]        
  276 |  1 testfile.s    276 | Code        | 11 |         |    1 | 00/4202 : E8          |             inx                  
  277 |  1 testfile.s    277 | Code        | 11 |         |    2 | 00/4203 : E9 56       |             sbc   #{$123456}     
  278 |  1 testfile.s    278 | Code        | 11 |         |    1 | 00/4205 : EA          |             nop                  
  279 |  1 testfile.s    279 | Code        | 11 |         |    1 | 00/4206 : EB          |             xba                  
  280 |  1 testfile.s    280 | Code        | 11 |         |    3 | 00/4207 : EC 05 04    |             cpx   {$0405}        
  281 |  1 testfile.s    281 | Code        | 11 |         |    3 | 00/420A : ED 05 04    |             sbc   {$0405}        
  282 |  1 testfile.s    282 | Code        | 11 |         |    3 | 00/420D : EE 05 04    |             inc   {$0405}        
  283 |  1 testfile.s    283 | Code        | 11 |         |    4 | 00/4210 : EF 03 02 01 |             sbcl  {$010203}      
  284 |  1 testfile.s    284 | Empty       | 11 |         |    0 | 00/4214               |                                  
  285 |  1 testfile.s    285 | Empty       | 11 |         |    0 | 00/4214               | startF0                          
  286 |  1 testfile.s    286 | Code        | 11 |         |    2 | 00/4214 : F0 FE       |             beq   startF0        
  287 |  1 testfile.s    287 | Code        | 11 |         |    2 | 00/4216 : F0 03       |             beq   down           
  288 |  1 testfile.s    288 | Code        | 11 |         |    3 | 00/4218 : 82 F9 FF    |             brl   startF0        
  289 |  1 testfile.s    289 | Empty       | 11 |         |    0 | 00/421B               | down                             
  290 |  1 testfile.s    290 | Code        | 11 |         |    2 | 00/421B : F1 A5       |             sbc   ({$A5}),y      
  291 |  1 testfile.s    291 | Code        | 11 |         |    2 | 00/421D : F2 A5       |             sbc   ({$A5})        
  292 |  1 testfile.s    292 | Code        | 11 |         |    2 | 00/421F : F3 A5       |             sbc   ({$A5},s),y    
  293 |  1 testfile.s    293 | Code        | 11 |         |    3 | 00/4221 : F4 14 42    |             pea   startF0        
  294 |  1 testfile.s    294 | Code        | 11 |         |    2 | 00/4224 : F5 A5       |             sbc   {$A5},x        
  295 |  1 testfile.s    295 | Code        | 11 |         |    2 | 00/4226 : F6 A5       |             inc   {$A5},x        
  296 |  1 testfile.s    296 | Code        | 11 |         |    2 | 00/4228 : F7 A5       |             sbc   [{$A5}],y      
  297 |  1 testfile.s    297 | Code        | 11 |         |    1 | 00/422A : F8          |             sed                  
  298 |  1 testfile.s    298 | Code        | 11 |         |    3 | 00/422B : F9 05 04    |             sbc   {$0405},y      
  299 |  1 testfile.s    299 | Code        | 11 |         |    1 | 00/422E : FA          |             plx                  
  300 |  1 testfile.s    300 | Code        | 11 |         |    1 | 00/422F : FB          |             xce                  
  301 |  1 testfile.s    301 | Code        | 11 |         |    3 | 00/4230 : FC 05 04    |             jsr   ({$0405},x)    
  302 |  1 testfile.s    302 | Code        | 11 |         |    3 | 00/4233 : FD 05 04    |             sbc   {$0405},x      
  303 |  1 testfile.s    303 | Code        | 11 |         |    3 | 00/4236 : FE 05 04    |             inc   {$0405},x      
  304 |  1 testfile.s    304 | Code        | 11 |         |    4 | 00/4239 : FF 03 02 01 |             sbcl  {$010203},x    
  305 |  1 testfile.s    305 | Empty       | 11 |         |    0 | 00/423D               |                                  
  306 |  1 testfile.s    306 | Comment     | 11 |         |    0 | 00/423D               | 	;lst
  307 |  1 testfile.s    307 | Comment     | 11 |         |    0 | 00/423D               | 	;chk
  308 |  1 testfile.s    308 | Directive   | 11 |         |    0 | 00/423D               |             lst   off            
  309 |  1 testfile.s    309 | Empty       | 11 |         |    0 | 00/423D               |                                  
------+----------------------+-------------+----+---------+------+-----------------------+----------------------------------------------------------------------
